month,day,borough,year.x,AQI_Final.x,AQI_o3.x,AQI_co.x,AQI_no2.x,AQI_pm25.x,AQI_Category.x,year.y,AQI_Final.y,AQI_o3.y,AQI_co.y,AQI_no2.y,AQI_pm25.y,AQI_Category.y,Adjusted_Value,date
07,07,Staten Island,2019,104.43347639485,25.1851851851852,29.5454545454546,6.13207547169811,104.43347639485,Unhealthy for Sensitive Populations,2020,95.8497854077253,24.4444444444444,26.1363636363636,11.4150943396226,95.8497854077253,Moderate,91.7807093247851,2020-07-07
07,07,The Bronx,2019,93.7038626609442,22.962962962963,25,4.24528301886792,93.7038626609442,Moderate,2020,67.9527896995708,27.4074074074074,22.7272727272727,,67.9527896995708,Moderate,72.5186644070902,2020-07-07
07,08,Brooklyn,2019,462.962962962963,462.962962962963,1.13636363636364,8.58490566037736,100.141630901288,Hazardous,2020,85.1201716738198,20,21.5909090909091,3.9622641509434,85.1201716738198,Moderate,18.3859570815451,2020-07-08
07,08,Manhattan,2019,95.8497854077253,25.1851851851852,31.8181818181818,14.0566037735849,95.8497854077253,Moderate,2020,95.8497854077253,17.7777777777778,26.1363636363636,4.43396226415094,95.8497854077253,Moderate,100,2020-07-08
07,08,Queens,2019,76.5364806866953,31.8518518518519,23.8636363636364,9.15094339622642,76.5364806866953,Moderate,2020,76.5364806866953,20,20.4545454545455,3.9622641509434,76.5364806866953,Moderate,100,2020-07-08
07,08,Staten Island,2019,104.43347639485,25.1851851851852,38.6363636363636,16.6037735849057,104.43347639485,Unhealthy for Sensitive Populations,2020,121.600858369099,14.0740740740741,38.6363636363636,16.6037735849057,121.600858369099,Unhealthy for Sensitive Populations,116.43858135043,2020-07-08
07,08,The Bronx,2019,74.3905579399142,25.1851851851852,27.2727272727273,13.0188679245283,74.3905579399142,Moderate,2020,67.9527896995708,15.5555555555556,25,,67.9527896995708,Moderate,91.345987422835,2020-07-08
07,09,Brooklyn,2019,462.962962962963,462.962962962963,2.27272727272727,5.84905660377359,110.871244635193,Hazardous,2020,78.6824034334764,13.4259259259259,21.5909090909091,4.71698113207547,78.6824034334764,Moderate,16.9953991416309,2020-07-09
07,09,Manhattan,2019,108.725321888412,35.5555555555556,31.8181818181818,13.1132075471698,108.725321888412,Unhealthy for Sensitive Populations,2020,89.412017167382,13.4259259259259,22.7272727272727,4.43396226415094,89.412017167382,Moderate,82.2366083764261,2020-07-09
07,09,Queens,2019,115.163090128755,35.5555555555556,34.0909090909091,13.8679245283019,115.163090128755,Unhealthy for Sensitive Populations,2020,67.9527896995708,15.5555555555556,21.5909090909091,4.71698113207547,67.9527896995708,Moderate,59.0057019341857,2020-07-09
07,09,Staten Island,2019,123.74678111588,35.5555555555556,51.1363636363636,8.77358490566038,123.74678111588,Unhealthy for Sensitive Populations,2020,89.412017167382,11.2037037037037,30.6818181818182,12.2641509433962,89.412017167382,Moderate,72.2540144972774,2020-07-09
07,09,The Bronx,2019,113.017167381974,37.7777777777778,31.8181818181818,14.1509433962264,113.017167381974,Unhealthy for Sensitive Populations,2020,65.8068669527897,11.2037037037037,21.5909090909091,4.52830188679245,65.8068669527897,Moderate,58.2273193331563,2020-07-09
07,10,Brooklyn,2019,140.914163090129,36.2962962962963,,11.5094339622642,140.914163090129,Unhealthy for Sensitive Populations,2020,44.3476394849785,11.8518518518519,14.7727272727273,7.54716981132076,44.3476394849785,Good,31.4713854962994,2020-07-10
07,10,Manhattan,2019,143.06008583691,45.1851851851852,38.6363636363636,13.1132075471698,143.06008583691,Unhealthy for Sensitive Populations,2020,61.5150214592275,11.8518518518519,18.1818181818182,2.64150943396226,61.5150214592275,Moderate,42.9994299942999,2020-07-10
07,10,Queens,2019,140.914163090129,34.8148148148148,35.2272727272727,12.1698113207547,140.914163090129,Unhealthy for Sensitive Populations,2020,48.6394849785408,13.4259259259259,14.7727272727273,6.13207547169811,48.6394849785408,Good,34.5171016964639,2020-07-10
07,10,Staten Island,2019,136.622317596567,33.4259259259259,51.1363636363636,13.1132075471698,136.622317596567,Unhealthy for Sensitive Populations,2020,63.6609442060086,8.88888888888889,26.1363636363636,9.62264150943396,63.6609442060086,Moderate,46.5962994376903,2020-07-10
07,10,The Bronx,2019,149.497854077253,31.8518518518519,43.1818181818182,11.5094339622642,149.497854077253,Unhealthy for Sensitive Populations,2020,37.9098712446352,12.5925925925926,12.5,4.52830188679245,37.9098712446352,Good,25.358137398444,2020-07-10
07,11,Brooklyn,2019,106.579399141631,22.3148148148148,30.6818181818182,9.71698113207547,106.579399141631,Unhealthy for Sensitive Populations,2020,82.9742489270386,19.2592592592593,19.3181818181818,3.77358490566038,82.9742489270386,Moderate,77.8520517053919,2020-07-11
07,11,Manhattan,2019,125.892703862661,24.4444444444444,30.6818181818182,7.92452830188679,125.892703862661,Unhealthy for Sensitive Populations,2020,89.412017167382,21.5740740740741,25,,89.412017167382,Moderate,71.0223979817952,2020-07-11
07,11,Queens,2019,89.412017167382,27.4074074074074,27.2727272727273,7.45283018867925,89.412017167382,Moderate,2020,87.2660944206009,21.5740740740741,19.3181818181818,3.86792452830189,87.2660944206009,Moderate,97.5999615993856,2020-07-11
07,11,Staten Island,2019,104.43347639485,25.1851851851852,51.1363636363636,16.6037735849057,104.43347639485,Unhealthy for Sensitive Populations,2020,85.1201716738198,19.2592592592593,38.6363636363636,7.07547169811321,85.1201716738198,Moderate,81.5065959807668,2020-07-11
07,11,The Bronx,2019,132.330472103004,26.0185185185185,30.6818181818182,9.71698113207547,132.330472103004,Unhealthy for Sensitive Populations,2020,95.8497854077253,22.3148148148148,19.3181818181818,,95.8497854077253,Moderate,72.4321344014531,2020-07-11
07,12,Brooklyn,2019,67.9527896995708,23.7037037037037,27.2727272727273,7.07547169811321,67.9527896995708,Moderate,2020,52.931330472103,25.1851851851852,20.4545454545455,3.20754716981132,52.931330472103,Moderate,77.8942714583465,2020-07-12
07,12,Manhattan,2019,78.6824034334764,23.7037037037037,26.1363636363636,11.4150943396226,78.6824034334764,Moderate,2020,70.0987124463519,26.7592592592593,18.1818181818182,,70.0987124463519,Moderate,89.0907107401952,2020-07-12
07,12,Queens,2019,70.0987124463519,26.7592592592593,27.2727272727273,10.4716981132075,70.0987124463519,Moderate,2020,57.2231759656652,31.1111111111111,20.4545454545455,3.39622641509434,57.2231759656652,Moderate,81.6322782097594,2020-07-12
